起点,终点,道路公里,道路分钟,说明,更新日期
马斯卡接驳点 · 圣地亚哥-德尔泰德,南机场 TFS,46.8,49.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,科斯塔阿德赫／Puerto Colón,28.6,26.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,洛斯克里斯蒂亚诺斯港,33.0,32.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,拉古纳古城,66.9,58.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,拉奥罗塔瓦,42.3,43.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,克鲁斯港,46.0,45.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,加拉奇科,22.1,26.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,伊科德龙血树公园,20.5,22.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,洛斯吉甘特斯港／巨人悬崖,14.9,18.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,泰德缆车下站,45.6,49.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,阿纳加 · Cruz del Carmen,74.9,70.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,特雷西塔海滩,84.4,78.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,埃尔梅达诺海滩,50.3,40.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,圣克鲁斯市区,101.3,74.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,北机场 TFN,83.1,78.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,南机场 TFS,43.8,49.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,科斯塔阿德赫／Puerto Colón,25.6,26.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,洛斯克里斯蒂亚诺斯港,30.1,31.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,拉古纳古城,81.0,74.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,拉奥罗塔瓦,56.4,59.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,克鲁斯港,60.2,60.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,加拉奇科,36.2,42.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,伊科德龙血树公园,34.6,38.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,马斯卡接驳点 · 圣地亚哥-德尔泰德,14.4,16.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,泰德缆车下站,49.6,54.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,阿纳加 · Cruz del Carmen,89.0,86.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,特雷西塔海滩,110.3,87.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
洛斯吉甘特斯港／巨人悬崖,埃尔梅达诺海滩,47.3,40.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,圣克鲁斯市区,63.4,63.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
